CO2,Temperature,Humidity,PM1.0,PM2.5,PM4.0,PM10,eCO2,TVOC,Temp_MA_24h,Temp_MA_7d,CO2_MA_24h,CO2_MA_7d
437,20,52,10.0,15.0,20.0,26.0,927,417,20.0,20.0,437.0,437.0
635,23,63,5.0,21.0,27.0,31.0,893,468,21.5,21.5,536.0,536.0
472,24,64,8.0,21.0,29.0,26.0,699,203,22.333333333333332,22.333333333333332,514.6666666666666,514.6666666666666
544,24,34,8.0,17.0,23.0,29.0,866,375,22.75,22.75,522.0,522.0
529,23,44,12.0,23.0,28.0,27.0,1499,408,22.8,22.8,523.4,523.4
983,24,40,14.0,21.0,24.0,26.0,760,396,23.0,23.0,600.0,600.0
908,20,49,8.0,21.0,24.0,30.0,1074,353,22.571428571428573,22.571428571428573,644.0,644.0
790,21,42,10.0,20.0,25.0,27.0,833,304,22.375,22.375,662.25,662.25
681,29,65,7.0,17.0,21.0,26.0,1007,349,23.11111111111111,23.11111111111111,664.3333333333334,664.3333333333334
578,27,51,9.0,20.0,26.0,30.0,987,283,23.5,23.5,655.7,655.7
676,21,69,12.0,15.0,28.0,27.0,1125,19,23.272727272727273,23.272727272727273,657.5454545454545,657.5454545454545
654,25,62,11.0,18.0,26.0,31.0,1471,427,23.416666666666668,23.416666666666668,657.25,657.25
757,29,63,13.0,24.0,21.0,31.0,1231,125,23.846153846153847,23.846153846153847,664.9230769230769,664.9230769230769
868,26,61,13.0,24.0,24.0,27.0,1130,19,24.0,24.0,679.4285714285714,679.4285714285714
652,26,66,6.0,22.0,24.0,25.0,804,216,24.133333333333333,24.133333333333333,677.6,677.6
890,22,53,11.0,15.0,29.0,29.0,524,493,24.0,24.0,690.875,690.875
798,20,57,12.0,19.0,28.0,30.0,1205,473,23.764705882352942,23.764705882352942,697.1764705882352,697.1764705882352
962,20,56,12.0,16.0,26.0,32.0,1079,425,23.555555555555557,23.555555555555557,711.8888888888889,711.8888888888889
980,20,66,13.0,18.0,22.0,28.0,1172,195,23.36842105263158,23.36842105263158,726.0,726.0
615,29,45,6.0,20.0,23.0,31.0,1338,348,23.65,23.65,720.45,720.45
903,20,37,10.0,22.0,28.0,30.0,1275,30,23.476190476190474,23.476190476190474,729.1428571428571,729.1428571428571
878,27,33,14.0,21.0,20.0,30.0,451,52,23.636363636363637,23.636363636363637,735.9090909090909,735.9090909090909
486,25,60,13.0,17.0,25.0,34.0,759,425,23.695652173913043,23.695652173913043,725.0434782608696,725.0434782608696
541,24,52,14.0,22.0,28.0,27.0,1292,175,23.708333333333332,23.708333333333332,717.375,717.375
793,20,68,9.0,18.0,27.0,25.0,655,469,23.56,23.56,720.4,720.4
407,20,55,8.0,19.0,25.0,30.0,521,419,23.423076923076923,23.423076923076923,708.3461538461538,708.3461538461538
719,20,47,5.0,24.0,26.0,26.0,431,151,23.296296296296298,23.296296296296298,708.7407407407408,708.7407407407408
934,20,52,8.0,22.0,25.0,28.0,850,388,23.178571428571427,23.178571428571427,716.7857142857143,716.7857142857143
713,29,54,10.0,15.0,27.0,25.0,1372,371,23.379310344827587,23.379310344827587,716.6551724137931,716.6551724137931
913,21,49,5.0,15.0,24.0,32.0,1474,447,23.3,23.3,723.2,723.2
716,25,69,7.0,16.0,22.0,26.0,532,397,23.35483870967742,23.35483870967742,722.9677419354839,722.9677419354839
609,24,67,8.0,23.0,26.0,34.0,1130,12,23.375,23.375,719.40625,719.40625
664,27,50,13.0,18.0,26.0,28.0,1342,347,23.484848484848484,23.484848484848484,717.7272727272727,717.7272727272727
831,26,58,6.0,20.0,28.0,31.0,1048,33,23.558823529411764,23.558823529411764,721.0588235294117,721.0588235294117
856,29,40,8.0,15.0,21.0,30.0,834,421,23.714285714285715,23.714285714285715,724.9142857142857,724.9142857142857
942,26,52,8.0,16.0,20.0,31.0,906,6,23.77777777777778,23.77777777777778,730.9444444444445,730.9444444444445
471,22,55,8.0,16.0,25.0,34.0,792,70,23.72972972972973,23.72972972972973,723.918918918919,723.918918918919
787,24,51,12.0,18.0,20.0,31.0,1159,167,23.736842105263158,23.736842105263158,725.578947368421,725.578947368421
854,25,52,5.0,22.0,21.0,26.0,1318,390,23.76923076923077,23.76923076923077,728.8717948717949,728.8717948717949
961,29,62,6.0,24.0,24.0,30.0,1160,75,23.9,23.9,734.675,734.675
713,20,66,14.0,18.0,21.0,29.0,906,59,23.804878048780488,23.804878048780488,734.1463414634146,734.1463414634146
915,20,53,14.0,22.0,29.0,32.0,766,367,23.714285714285715,23.714285714285715,738.452380952381,738.452380952381
897,28,49,5.0,15.0,20.0,31.0,874,144,23.813953488372093,23.813953488372093,742.1395348837209,742.1395348837209
443,29,60,9.0,17.0,23.0,28.0,846,350,23.931818181818183,23.931818181818183,735.3409090909091,735.3409090909091
988,27,38,12.0,19.0,29.0,27.0,496,238,24.0,24.0,740.9555555555555,740.9555555555555
426,26,43,8.0,19.0,23.0,28.0,1200,257,24.043478260869566,24.043478260869566,734.1086956521739,734.1086956521739
736,28,42,7.0,21.0,20.0,31.0,1304,353,24.127659574468087,24.127659574468087,734.1489361702128,734.1489361702128
697,20,55,12.0,15.0,28.0,30.0,1208,17,24.041666666666668,24.041666666666668,733.375,733.375
866,22,30,7.0,16.0,22.0,32.0,434,127,24.0,24.0,736.0816326530612,736.0816326530612
415,23,69,5.0,22.0,25.0,32.0,1158,185,23.98,23.98,729.66,729.66
464,21,52,5.0,21.0,24.0,31.0,1238,448,23.92156862745098,23.92156862745098,724.4509803921569,724.4509803921569
596,26,36,9.0,20.0,22.0,31.0,854,259,23.96153846153846,23.96153846153846,721.9807692307693,721.9807692307693
425,28,36,10.0,20.0,24.0,30.0,419,379,24.037735849056602,24.037735849056602,716.377358490566,716.377358490566
767,23,39,10.0,22.0,22.0,33.0,1480,384,24.01851851851852,24.01851851851852,717.3148148148148,717.3148148148148
871,22,36,11.0,18.0,20.0,30.0,724,480,23.98181818181818,23.98181818181818,720.1090909090909,720.1090909090909
682,24,65,13.0,21.0,21.0,28.0,481,370,23.982142857142858,23.982142857142858,719.4285714285714,719.4285714285714
422,22,50,9.0,23.0,25.0,32.0,1485,425,23.94736842105263,23.94736842105263,714.2105263157895,714.2105263157895
526,23,42,6.0,23.0,25.0,27.0,1417,226,23.93103448275862,23.93103448275862,710.9655172413793,710.9655172413793
679,27,39,9.0,17.0,28.0,32.0,885,228,23.983050847457626,23.983050847457626,710.4237288135594,710.4237288135594
781,24,50,14.0,16.0,20.0,27.0,1009,400,23.983333333333334,23.983333333333334,711.6,711.6
756,20,56,13.0,15.0,20.0,34.0,1255,18,23.918032786885245,23.918032786885245,712.327868852459,712.327868852459
555,23,65,6.0,23.0,25.0,30.0,1318,148,23.903225806451612,23.903225806451612,709.7903225806451,709.7903225806451
713,26,60,6.0,22.0,27.0,25.0,699,57,23.936507936507937,23.936507936507937,709.8412698412699,709.8412698412699
995,27,44,12.0,22.0,23.0,27.0,1220,311,23.984375,23.984375,714.296875,714.296875
566,28,44,14.0,15.0,26.0,33.0,618,359,24.046153846153846,24.046153846153846,712.0153846153846,712.0153846153846
688,20,47,14.0,19.0,20.0,26.0,1387,405,23.984848484848484,23.984848484848484,711.6515151515151,711.6515151515151
818,22,30,8.0,23.0,22.0,33.0,928,431,23.955223880597014,23.955223880597014,713.2388059701492,713.2388059701492
679,27,38,11.0,15.0,20.0,27.0,1035,121,24.0,24.0,712.7352941176471,712.7352941176471
487,28,50,12.0,19.0,25.0,33.0,1061,330,24.057971014492754,24.057971014492754,709.463768115942,709.463768115942
643,28,61,7.0,20.0,21.0,31.0,443,192,24.114285714285714,24.114285714285714,708.5142857142857,708.5142857142857
748,23,37,5.0,22.0,27.0,33.0,824,8,24.098591549295776,24.098591549295776,709.0704225352113,709.0704225352113
986,24,51,8.0,17.0,23.0,28.0,1114,174,24.09722222222222,24.09722222222222,712.9166666666666,712.9166666666666
590,23,61,10.0,19.0,22.0,31.0,1483,95,24.08219178082192,24.08219178082192,711.2328767123288,711.2328767123288
702,22,43,14.0,24.0,23.0,29.0,1185,112,24.054054054054053,24.054054054054053,711.1081081081081,711.1081081081081
551,21,37,9.0,22.0,22.0,25.0,1055,333,24.013333333333332,24.013333333333332,708.9733333333334,708.9733333333334
721,20,51,9.0,20.0,23.0,31.0,1070,429,23.960526315789473,23.960526315789473,709.1315789473684,709.1315789473684
769,27,58,11.0,15.0,27.0,31.0,861,293,24.0,24.0,709.9090909090909,709.9090909090909
653,29,40,9.0,19.0,27.0,28.0,1450,360,24.064102564102566,24.064102564102566,709.1794871794872,709.1794871794872
861,28,58,9.0,24.0,21.0,29.0,1151,419,24.11392405063291,24.11392405063291,711.1012658227849,711.1012658227849
964,21,41,8.0,19.0,24.0,33.0,1411,214,24.075,24.075,714.2625,714.2625
869,27,42,9.0,15.0,26.0,31.0,806,315,24.11111111111111,24.11111111111111,716.1728395061729,716.1728395061729
854,21,56,9.0,17.0,27.0,25.0,587,211,24.073170731707318,24.073170731707318,717.8536585365854,717.8536585365854
914,23,46,13.0,20.0,20.0,25.0,1089,226,24.06024096385542,24.06024096385542,720.2168674698795,720.2168674698795
988,26,62,9.0,20.0,20.0,28.0,1268,407,24.083333333333332,24.083333333333332,723.4047619047619,723.4047619047619
549,26,43,8.0,18.0,26.0,30.0,1162,188,24.105882352941176,24.105882352941176,721.3529411764706,721.3529411764706
663,23,31,12.0,15.0,24.0,32.0,1167,149,24.093023255813954,24.093023255813954,720.6744186046511,720.6744186046511
477,22,53,10.0,15.0,24.0,25.0,939,100,24.06896551724138,24.06896551724138,717.8735632183908,717.8735632183908
475,29,56,10.0,16.0,25.0,34.0,1424,326,24.125,24.125,715.1136363636364,715.1136363636364
732,23,55,5.0,24.0,21.0,34.0,824,349,24.1123595505618,24.1123595505618,715.3033707865169,715.3033707865169
443,25,30,6.0,24.0,22.0,33.0,842,434,24.122222222222224,24.122222222222224,712.2777777777778,712.2777777777778
932,24,53,10.0,17.0,26.0,25.0,1004,191,24.12087912087912,24.12087912087912,714.6923076923077,714.6923076923077
942,23,47,14.0,16.0,28.0,26.0,1204,483,24.108695652173914,24.108695652173914,717.1630434782609,717.1630434782609
948,24,31,8.0,15.0,22.0,34.0,1487,258,24.107526881720432,24.107526881720432,719.6451612903226,719.6451612903226
969,27,57,5.0,16.0,29.0,29.0,1499,208,24.138297872340427,24.138297872340427,722.2978723404256,722.2978723404256
908,28,51,10.0,21.0,29.0,25.0,1022,365,24.178947368421053,24.178947368421053,724.2526315789473,724.2526315789473
610,25,44,5.0,18.0,25.0,27.0,962,309,24.1875,24.1875,723.0625,723.0625
496,22,55,6.0,19.0,25.0,29.0,1047,46,24.164948453608247,24.164948453608247,720.7216494845361,720.7216494845361
669,22,63,7.0,18.0,28.0,33.0,1250,417,24.142857142857142,24.142857142857142,720.1938775510204,720.1938775510204
410,29,65,9.0,21.0,25.0,27.0,624,428,24.19191919191919,24.19191919191919,717.060606060606,717.060606060606
679,29,55,7.0,19.0,29.0,27.0,449,471,24.24,24.24,716.68,716.68
552,25,67,5.0,17.0,21.0,32.0,696,495,24.247524752475247,24.247524752475247,715.049504950495,715.049504950495
876,27,62,8.0,18.0,29.0,31.0,764,121,24.274509803921568,24.274509803921568,716.6274509803922,716.6274509803922
816,27,36,7.0,21.0,24.0,28.0,1470,34,24.300970873786408,24.300970873786408,717.5922330097087,717.5922330097087
540,22,34,5.0,18.0,26.0,27.0,1241,363,24.278846153846153,24.278846153846153,715.8846153846154,715.8846153846154
593,28,51,12.0,18.0,29.0,31.0,891,342,24.314285714285713,24.314285714285713,714.7142857142857,714.7142857142857
972,23,60,10.0,23.0,28.0,30.0,878,273,24.30188679245283,24.30188679245283,717.1415094339623,717.1415094339623
889,27,60,14.0,16.0,20.0,29.0,1022,74,24.327102803738317,24.327102803738317,718.7476635514018,718.7476635514018
552,24,36,5.0,18.0,25.0,28.0,1007,190,24.324074074074073,24.324074074074073,717.2037037037037,717.2037037037037
738,22,63,7.0,18.0,26.0,28.0,1200,305,24.30275229357798,24.30275229357798,717.394495412844,717.394495412844
530,20,55,12.0,16.0,20.0,34.0,1339,79,24.263636363636362,24.263636363636362,715.6909090909091,715.6909090909091
892,21,64,7.0,20.0,26.0,32.0,1445,490,24.234234234234233,24.234234234234233,717.2792792792793,717.2792792792793
666,22,64,14.0,18.0,20.0,29.0,1146,115,24.214285714285715,24.214285714285715,716.8214285714286,716.8214285714286
889,23,68,7.0,21.0,26.0,29.0,1103,212,24.20353982300885,24.20353982300885,718.3451327433628,718.3451327433628
870,27,36,8.0,19.0,27.0,30.0,611,457,24.228070175438596,24.228070175438596,719.6754385964912,719.6754385964912
598,23,31,8.0,23.0,21.0,34.0,909,258,24.217391304347824,24.217391304347824,718.6173913043478,718.6173913043478
727,24,50,7.0,20.0,21.0,29.0,748,290,24.21551724137931,24.21551724137931,718.6896551724138,718.6896551724138
576,28,57,8.0,22.0,25.0,26.0,451,56,24.247863247863247,24.247863247863247,717.4700854700855,717.4700854700855
966,29,31,9.0,16.0,20.0,26.0,497,265,24.28813559322034,24.28813559322034,719.5762711864406,719.5762711864406
415,20,46,6.0,23.0,26.0,32.0,1432,158,24.252100840336134,24.252100840336134,717.0168067226891,717.0168067226891
801,21,32,7.0,17.0,24.0,34.0,488,67,24.225,24.225,717.7166666666667,717.7166666666667
570,22,63,14.0,15.0,24.0,25.0,1169,19,24.206611570247933,24.206611570247933,716.4958677685951,716.4958677685951
420,23,50,6.0,15.0,24.0,25.0,1339,439,24.19672131147541,24.19672131147541,714.0655737704918,714.0655737704918
678,21,67,9.0,19.0,27.0,30.0,1109,347,24.170731707317074,24.170731707317074,713.7723577235772,713.7723577235772
885,27,34,11.0,17.0,22.0,32.0,1487,486,24.193548387096776,24.193548387096776,715.1532258064516,715.1532258064516
410,23,57,13.0,16.0,21.0,25.0,522,53,24.184,24.184,712.712,712.712
496,20,40,7.0,17.0,24.0,30.0,1376,12,24.150793650793652,24.150793650793652,710.9920634920635,710.9920634920635
583,27,48,8.0,17.0,29.0,27.0,698,134,24.173228346456693,24.173228346456693,709.9842519685039,709.9842519685039
717,23,59,5.0,18.0,28.0,25.0,948,166,24.1640625,24.1640625,710.0390625,710.0390625
968,24,45,5.0,19.0,24.0,34.0,934,235,24.162790697674417,24.162790697674417,712.0387596899225,712.0387596899225
805,27,56,11.0,22.0,24.0,32.0,419,213,24.184615384615384,24.184615384615384,712.7538461538461,712.7538461538461
631,25,53,5.0,20.0,27.0,30.0,1469,387,24.19083969465649,24.19083969465649,712.1297709923664,712.1297709923664
496,22,41,11.0,16.0,20.0,25.0,409,65,24.174242424242426,24.174242424242426,710.4924242424242,710.4924242424242
905,27,54,8.0,18.0,27.0,28.0,549,70,24.195488721804512,24.195488721804512,711.9548872180451,711.9548872180451
425,24,50,8.0,16.0,28.0,30.0,820,284,24.19402985074627,24.19402985074627,709.8134328358209,709.8134328358209
897,29,32,13.0,15.0,29.0,28.0,1154,401,24.22962962962963,24.22962962962963,711.2,711.2
541,29,65,13.0,16.0,29.0,27.0,1335,280,24.264705882352942,24.264705882352942,709.9485294117648,709.9485294117648
612,20,64,13.0,19.0,25.0,27.0,1400,331,24.233576642335766,24.233576642335766,709.2335766423357,709.2335766423357
936,24,63,7.0,15.0,22.0,25.0,1419,486,24.231884057971016,24.231884057971016,710.8768115942029,710.8768115942029
537,20,36,8.0,17.0,26.0,33.0,1460,424,24.201438848920862,24.201438848920862,709.6258992805756,709.6258992805756
850,24,69,7.0,16.0,29.0,28.0,758,252,24.2,24.2,710.6285714285714,710.6285714285714
599,21,57,5.0,18.0,25.0,34.0,419,444,24.177304964539008,24.177304964539008,709.8368794326241,709.8368794326241
725,25,52,13.0,16.0,26.0,34.0,792,263,24.183098591549296,24.183098591549296,709.943661971831,709.943661971831
820,26,37,13.0,19.0,25.0,34.0,1118,2,24.195804195804197,24.195804195804197,710.7132867132867,710.7132867132867
421,29,67,8.0,22.0,23.0,31.0,1473,10,24.229166666666668,24.229166666666668,708.7013888888889,708.7013888888889
696,23,58,13.0,20.0,23.0,29.0,1475,307,24.25,24.220689655172414,710.5,708.6137931034483
477,25,38,7.0,21.0,20.0,34.0,515,175,24.26388888888889,24.226027397260275,709.4027777777778,707.027397260274
619,28,34,13.0,24.0,23.0,28.0,595,271,24.291666666666668,24.25170068027211,710.4236111111111,706.4285714285714
769,22,44,9.0,17.0,24.0,29.0,1298,194,24.27777777777778,24.236486486486488,711.9861111111111,706.8513513513514
703,26,40,8.0,20.0,21.0,26.0,661,70,24.29861111111111,24.248322147651006,713.1944444444445,706.8255033557047
861,21,66,5.0,17.0,20.0,25.0,1122,163,24.27777777777778,24.226666666666667,712.3472222222222,707.8533333333334
824,23,49,9.0,17.0,29.0,34.0,757,436,24.29861111111111,24.218543046357617,711.7638888888889,708.6225165562914
862,27,68,8.0,16.0,29.0,26.0,540,101,24.34027777777778,24.236842105263158,712.2638888888889,709.6315789473684
957,20,69,11.0,18.0,23.0,26.0,620,308,24.27777777777778,24.209150326797385,714.1805555555555,711.2483660130719
634,26,42,14.0,23.0,29.0,32.0,790,81,24.270833333333332,24.22077922077922,714.5694444444445,710.7467532467532
957,27,31,13.0,18.0,23.0,27.0,444,188,24.3125,24.238709677419354,716.5208333333334,712.3354838709678
851,28,30,5.0,15.0,24.0,32.0,917,66,24.333333333333332,24.262820512820515,717.8888888888889,713.224358974359
722,24,45,13.0,22.0,26.0,25.0,1312,394,24.29861111111111,24.261146496815286,717.6458333333334,713.28025477707
702,27,42,10.0,18.0,25.0,26.0,1230,233,24.305555555555557,24.27848101265823,716.4930555555555,713.2088607594936
784,21,43,14.0,23.0,27.0,33.0,810,493,24.270833333333332,24.257861635220127,717.4097222222222,713.6540880503145
813,26,39,5.0,17.0,21.0,25.0,1013,128,24.29861111111111,24.26875,716.875,714.275
463,28,48,14.0,19.0,25.0,28.0,553,221,24.354166666666668,24.29192546583851,714.5486111111111,712.7142857142857
947,28,59,11.0,18.0,27.0,30.0,948,313,24.40972222222222,24.314814814814813,714.4444444444445,714.1604938271605
877,24,44,10.0,16.0,26.0,26.0,1125,341,24.4375,24.312883435582823,713.7291666666666,715.1595092024539
945,22,66,8.0,21.0,26.0,27.0,674,302,24.38888888888889,24.298780487804876,716.0208333333334,716.560975609756
868,28,54,6.0,20.0,26.0,26.0,1005,491,24.444444444444443,24.32121212121212,715.7777777777778,717.4787878787879
995,22,34,13.0,23.0,21.0,29.0,464,462,24.40972222222222,24.30722891566265,716.5902777777778,719.1506024096385
448,20,36,5.0,19.0,28.0,32.0,487,390,24.375,24.281437125748504,716.3263888888889,717.5269461077844
688,24,32,9.0,18.0,24.0,34.0,496,33,24.375,24.279761904761905,717.3472222222222,717.3511904761905
653,25,37,14.0,21.0,22.0,33.0,897,86,24.40972222222222,24.284023668639055,716.375,716.9704142011834
455,20,47,11.0,20.0,20.0,29.0,1389,214,24.40972222222222,24.258823529411764,716.7083333333334,715.4294117647058
687,24,37,10.0,18.0,22.0,29.0,479,67,24.4375,24.257309941520468,716.4861111111111,715.2631578947369
428,22,61,12.0,22.0,28.0,31.0,1324,217,24.45138888888889,24.24418604651163,712.9722222222222,713.5930232558139
622,25,35,13.0,23.0,23.0,30.0,1258,386,24.42361111111111,24.248554913294797,712.3402777777778,713.0635838150289
730,24,46,13.0,23.0,27.0,26.0,1174,359,24.444444444444443,24.24712643678161,711.0694444444445,713.1609195402299
536,29,56,14.0,18.0,22.0,25.0,822,477,24.47222222222222,24.274285714285714,709.8194444444445,712.1485714285715
509,25,61,7.0,22.0,21.0,26.0,653,109,24.479166666666668,24.27840909090909,709.125,710.9943181818181
432,21,66,13.0,23.0,24.0,25.0,1302,348,24.4375,24.259887005649716,707.5138888888889,709.4180790960452
920,23,55,11.0,20.0,24.0,28.0,1153,46,24.416666666666668,24.252808988764045,708.1319444444445,710.6011235955057
996,23,61,11.0,22.0,24.0,30.0,505,105,24.375,24.24581005586592,709.1041666666666,712.195530726257
962,24,42,14.0,17.0,22.0,30.0,1076,366,24.36111111111111,24.244444444444444,709.2430555555555,713.5833333333334
991,29,33,6.0,22.0,24.0,31.0,633,155,24.40972222222222,24.2707182320442,712.8541666666666,715.1160220994475
569,29,65,11.0,23.0,28.0,34.0,463,29,24.444444444444443,24.296703296703296,711.3402777777778,714.3131868131868
611,29,66,13.0,15.0,27.0,27.0,1123,499,24.47222222222222,24.3224043715847,709.6527777777778,713.7486338797814
424,27,53,13.0,22.0,29.0,34.0,1164,441,24.458333333333332,24.33695652173913,705.9236111111111,712.1739130434783
513,20,64,8.0,19.0,28.0,30.0,1034,393,24.458333333333332,24.313513513513513,704.5347222222222,711.0972972972972
444,24,56,7.0,23.0,29.0,32.0,1375,387,24.48611111111111,24.311827956989248,701.2638888888889,709.6612903225806
671,29,65,8.0,19.0,25.0,30.0,439,58,24.493055555555557,24.336898395721924,699.6944444444445,709.4545454545455
875,28,39,11.0,19.0,29.0,34.0,590,196,24.48611111111111,24.356382978723403,702.6944444444445,710.3351063829788
899,26,67,8.0,15.0,21.0,33.0,1347,403,24.479166666666668,24.365079365079364,702.0763888888889,711.3333333333334
651,22,52,11.0,19.0,28.0,26.0,1413,203,24.45138888888889,24.352631578947367,703.6388888888889,711.0157894736842
635,25,34,10.0,23.0,28.0,30.0,737,359,24.430555555555557,24.356020942408378,702.9375,710.6178010471205
